
央视,#genre#
河南卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226668/index.m3u8
河南卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226687/index.m3u8
海南卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226679/index.m3u8
海南卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226683/index.m3u8
深圳卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226688/index.m3u8
湖北卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226713/index.m3u8
甘肃卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226662/index.m3u8
西藏卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226710/index.m3u8
贵州卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226672/index.m3u8
贵州卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226676/index.m3u8
辽宁卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226689/index.m3u8
重庆卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226680/index.m3u8
陕西卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226707/index.m3u8
青海卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226696/index.m3u8
黑龙江卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226716/index.m3u8


数字,#genre#
哒啵电竞[1920*1080],http://rrs02.hw.gmcc.net:8088/PLTV/27/224/3221226891/index.m3u8
哒啵赛事[1920*1080],http://rrs02.hw.gmcc.net:8088/PLTV/27/224/3221226905/index.m3u8
北京纪实科教[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226656/index.m3u8
北京纪实科教[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226658/index.m3u8
北京纪实科教[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226730/index.m3u8
卡酷少儿[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226677/index.m3u8
哈哈炫动[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226703/index.m3u8
金鹰卡通[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226674/index.m3u8
金鹰纪实[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226667/index.m3u8
山东教育卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226701/index.m3u8
央广购物[1280*720],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227413/index.m3u8



咪咕,#genre#
睛彩青少[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226965/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226776/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226948/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226984/index.m3u8

睛彩篮球[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226952/index.m3u8
睛彩竞技[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226870/index.m3u8
咪咕4K[3840*2160],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226989/index.m3u8
至臻视界[3840*2160],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226991/index.m3u8
咪咕4K[3840*2160],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226938/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226909/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226912/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226915/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226921/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226918/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226923/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226924/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226927/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226926/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226929/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226930/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226932/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226933/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226936/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226935/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226941/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226944/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226947/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226950/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226951/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226953/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226954/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226956/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226959/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226966/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226969/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226982/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226985/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226988/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226992/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226994/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226995/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221226997/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221227000/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221227003/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221227006/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221227009/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221227012/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221227024/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221227027/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221227030/index.m3u8
咪咕[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/116/224/3221227036/index.m3u8



其他,#genre#
1669号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227168/index.m3u8
1673号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227172/index.m3u8
1676号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227175/index.m3u8
1677号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227176/index.m3u8
1680号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227179/index.m3u8
1681号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227180/index.m3u8
1684号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227183/index.m3u8
1685号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227184/index.m3u8
1688号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227187/index.m3u8
1689号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227188/index.m3u8
1693号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227192/index.m3u8
1692号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227191/index.m3u8
1694号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227193/index.m3u8
1696号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227195/index.m3u8
1697号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227196/index.m3u8
1698号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227197/index.m3u8
1700号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227199/index.m3u8
1701号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227200/index.m3u8
1702号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227201/index.m3u8
1704号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227203/index.m3u8
1706号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227205/index.m3u8
1708号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227207/index.m3u8
1709号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227208/index.m3u8
1710号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227209/index.m3u8
1712号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227211/index.m3u8
1714号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227213/index.m3u8
1718号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227217/index.m3u8
1720号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227219/index.m3u8
1721号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227220/index.m3u8
1722号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227221/index.m3u8
1724号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227223/index.m3u8
1725号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227224/index.m3u8
1726号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227225/index.m3u8
1728号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227227/index.m3u8
1729号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227228/index.m3u8
1730号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227229/index.m3u8
1733号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227232/index.m3u8
1732号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227231/index.m3u8
1734号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227233/index.m3u8
1736号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227235/index.m3u8
1737号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227236/index.m3u8
1738号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227237/index.m3u8
1740号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227239/index.m3u8
1741号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227240/index.m3u8
1742号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227241/index.m3u8
1744号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227243/index.m3u8
1745号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227244/index.m3u8
1746号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227245/index.m3u8
1748号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227247/index.m3u8
1749号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227248/index.m3u8
1750号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227249/index.m3u8
1752号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227251/index.m3u8
1753号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227252/index.m3u8
1754号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227253/index.m3u8
1756号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227255/index.m3u8
1758号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227257/index.m3u8
1757号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227256/index.m3u8
1760号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227259/index.m3u8
1761号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227260/index.m3u8
1762号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227261/index.m3u8
1764号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227263/index.m3u8
1765号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227264/index.m3u8
1766号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227265/index.m3u8
1768号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227267/index.m3u8
1769号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227268/index.m3u8
1770号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227269/index.m3u8
1772号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227271/index.m3u8
1776号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227275/index.m3u8
1778号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227277/index.m3u8
1780号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227279/index.m3u8
1781号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227280/index.m3u8
1782号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227281/index.m3u8
1784号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227283/index.m3u8
1785号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227284/index.m3u8
1786号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227285/index.m3u8
1788号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227287/index.m3u8
1790号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227289/index.m3u8
1789号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227288/index.m3u8
1792号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227291/index.m3u8
1794号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227293/index.m3u8
1796号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227295/index.m3u8
1797号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227296/index.m3u8
1798号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227297/index.m3u8
1800号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227299/index.m3u8
1801号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227300/index.m3u8
1802号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227301/index.m3u8
1804号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227303/index.m3u8
1805号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227304/index.m3u8
1806号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227305/index.m3u8
1808号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227307/index.m3u8
1809号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227308/index.m3u8
1810号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227309/index.m3u8
1812号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227311/index.m3u8
1813号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227312/index.m3u8
1814号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227313/index.m3u8
1816号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227315/index.m3u8
1817号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227316/index.m3u8
1818号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227317/index.m3u8
1820号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227319/index.m3u8
1821号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227320/index.m3u8
1824号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227323/index.m3u8
1825号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227324/index.m3u8
1826号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227325/index.m3u8
1828号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227327/index.m3u8
1830号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227329/index.m3u8
1829号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227328/index.m3u8
1832号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227331/index.m3u8
1833号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227332/index.m3u8
1834号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227333/index.m3u8
1836号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227335/index.m3u8
1837号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227336/index.m3u8
1838号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227337/index.m3u8
1840号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227339/index.m3u8
1841号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227340/index.m3u8
1842号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227341/index.m3u8
1844号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227343/index.m3u8
1846号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227345/index.m3u8
1845号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227344/index.m3u8
1848号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227347/index.m3u8
1849号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227348/index.m3u8
1850号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227349/index.m3u8
1852号[0*0],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227351/index.m3u8
