央视频道,#genre#
周星驰,https://www.goodiptv.club/huya/11342412
电影沈腾周星驰,http://hlsa-akm.douyucdn.cn/85894rmovieChow_4000p.m3u8

CCTV1,http://175.9.104.177:8089/udp/239.76.245.51:1234
CCTV1,http://124.230.56.141:55555/udp/239.76.246.151:1234
CCTV1,http://113.218.242.3:8089/udp/239.76.246.151:1234
CCTV1,http://113.218.242.3:8089/udp/239.76.245.51:1234
CCTV1,http://175.9.104.177:8089/udp/239.76.246.151:1234
CCTV1,http://175.9.104.177:8089/udp/239.76.253.151:9000
CCTV1,http://175.0.94.194:9000/udp/239.76.246.151:1234
CCTV1,http://124.230.56.162:55555/udp/239.76.246.151:1234
CCTV1,http://175.0.94.194:9000/udp/239.76.253.151:9000
CCTV1,http://124.230.56.141:55555/udp/239.76.245.51:1234
CCTV2,http://113.218.242.3:8089/udp/239.76.246.152:1234
CCTV2,http://113.218.242.3:8089/udp/239.76.253.152:9000
CCTV2,http://124.230.56.162:55555/udp/239.76.246.152:1234
CCTV2,http://175.0.94.194:9000/udp/239.76.246.152:1234
CCTV2,http://124.230.56.141:55555/udp/239.76.253.152:9000
CCTV2,http://124.230.56.141:55555/udp/239.76.246.152:1234
CCTV2,http://124.230.56.162:55555/udp/239.76.253.152:9000
CCTV2,http://175.9.104.177:8089/udp/239.76.246.152:1234
CCTV2,http://175.0.94.194:9000/udp/239.76.253.152:9000
CCTV2,http://175.9.104.177:8089/udp/239.76.253.152:9000
CCTV3,http://113.218.242.3:8089/udp/239.76.253.153:9000
CCTV3,http://113.218.242.3:8089/udp/239.76.246.153:1234
CCTV3,http://124.230.56.141:55555/udp/239.76.246.153:1234
CCTV3,http://124.230.56.141:55555/udp/239.76.253.153:9000
CCTV3,http://175.0.94.194:9000/udp/239.76.246.153:1234
CCTV3,http://175.0.94.194:9000/udp/239.76.253.153:9000
CCTV3,http://124.230.56.162:55555/udp/239.76.246.153:1234
CCTV3,http://124.230.56.162:55555/udp/239.76.253.153:9000
CCTV3,http://175.9.104.177:8089/udp/239.76.246.153:1234
CCTV3,http://175.9.104.177:8089/udp/239.76.253.153:9000
CCTV4,http://113.218.242.3:8089/udp/239.76.245.195:1234
CCTV4,http://124.230.56.141:55555/udp/239.76.245.195:1234
CCTV4,http://124.230.56.141:55555/udp/239.76.253.154:9000
CCTV4,http://113.218.242.3:8089/udp/239.76.246.154:1234
CCTV4,http://124.230.56.141:55555/udp/239.76.246.154:1234
CCTV4,http://113.218.242.3:8089/udp/239.76.253.154:9000
CCTV4,http://124.230.56.162:55555/udp/239.76.245.195:1234
CCTV4,http://175.0.94.194:9000/udp/239.76.245.195:1234
CCTV4,http://175.0.94.194:9000/udp/239.76.246.154:1234
CCTV4,http://175.0.94.194:9000/udp/239.76.253.154:9000
CCTV5+,http://113.218.242.3:8089/udp/239.76.253.168:9000
CCTV5+,http://124.230.56.141:55555/udp/239.76.253.168:9000
CCTV5+,http://113.218.242.3:8089/udp/239.76.246.168:1234
CCTV5+,http://124.230.56.141:55555/udp/239.76.246.168:1234
CCTV5+,http://124.230.56.162:55555/udp/239.76.246.168:1234
CCTV5+,http://124.230.56.162:55555/udp/239.76.253.168:9000
CCTV5+,http://175.9.104.177:8089/udp/239.76.246.168:1234
